title,text,label
"Breaking: Scientists discover new Earth-like planet.","Astronomers from NASA's Kepler mission have identified a new planet that could potentially harbor life. The planet is in the habitable zone of its star.","REAL"
"New miracle cure for all diseases discovered in kitchen.","A secret ingredient in common black pepper can cure cancer, diabetes, and heart disease in just 24 hours, claims local blogger.","FAKE"
"The Federal Reserve announces interest rate hike.","The central bank of the United States has raised interest rates by 25 basis points to combat inflation and maintain economic stability.","REAL"
"NASA confirms Moon is actually made of cheese.","In a shocking announcement, NASA scientists revealed that the Moon is not rock, but a high-density lunar Swiss cheese.","FAKE"
"Tech giant releases new smartphone with AI integration.","A leading technology company has unveiled its latest smartphone, featuring deep integration with artificial intelligence for better user experience.","REAL"
"Invisible aliens have already invaded Earth, says expert.","A self-proclaimed UFO expert says that invisible aliens have been living among humans for decades and are controlling our thoughts.","FAKE"
"Local library starts new program for students.","The community library has launched a summer reading challenge to encourage literacy among local elementary and middle school students.","REAL"
"Winning lottery numbers can be predicted by cats.","New research suggests that house cats can accurately predict the next day's winning lottery numbers by the way they purr.","FAKE"
"Global stock markets show signs of recovery.","After a period of volatility, major global stock indices showed positive growth today as investor confidence returned.","REAL"
"Secret underwater city found in the middle of the Pacific.","Explorers have discovered a massive city built by an ancient civilization at the bottom of the Pacific Ocean, fully powered by glowing algae.","FAKE"
"World Health Organization declares end to global health emergency.","The WHO has officially announced that the recent global health crisis has subsided to a level where it no longer constitutes a public health emergency of international concern.","REAL"
"Drinking bleach cures viral infections, says social media post.","A viral post on social media platforms claims that consuming small amounts of bleach can effectively kill any virus in the human body. This is extremely dangerous.","FAKE"
"Electric vehicle sales reach record highs in Europe.","Recent data shows that electric vehicles now account for over 25% of all new car sales in major European markets, marking a significant shift in the automotive industry.","REAL"
"Government to implement 'thought taxes' by 2027.","Anonymous sources claim the government is developing technology to monitor citizen thoughts and will begin taxing 'unproductive' thinking by next year.","FAKE"
"Archaeologists find ancient scroll in Egypt.","A team of international archaeologists has unearthed a well-preserved papyrus scroll in Luxor, dating back to the New Kingdom period.","REAL"
"Clouds are actually giant surveillance drones.","A new conspiracy theory suggests that what we perceive as clouds are actually soft-bodied surveillance drones deployed by a secret global organization.","FAKE"
"Major breakthrough in fusion energy research.","Scientists at a national laboratory have achieved a net energy gain in a fusion reaction for the second time, bringing the world closer to clean, limitless energy.","REAL"
"WiFi signals are turning people into statues.","A blog post claims that long-term exposure to high-frequency WiFi signals causes a rare condition where human skin slowly turns into stone.","FAKE"
"New study links Mediterranean diet to longer life.","Researchers have published a decade-long study involving thousands of participants, confirming that a Mediterranean-style diet significantly reduces the risk of heart disease.","REAL"
"Time traveler from 2085 warns of chocolate shortage.","An individual claiming to be from the future says that by the year 2085, cacao trees will be extinct, and chocolate will be more valuable than gold.","FAKE"
"Olympic Games to include e-sports in upcoming cycle.","The International Olympic Committee has announced that several popular e-sports titles will be featured as medal events in the next summer games.","REAL"
"Trees communicate through secret underground internet.","While it sounds like fiction, scientists have discovered that trees use a network of fungi to share nutrients and warn each other of impending insect attacks.","REAL"
"Eating magnetic sand improves your internal GPS.","A lifestyle influencer claims that swallowing 'magnetized sand' helps humans develop a better sense of direction by aligning with the Earth's magnetic field.","FAKE"
"Mars rover finds evidence of ancient riverbeds.","The latest images and soil samples from the Mars rover 'Perseverance' strongly suggest that a massive river system once flowed through the Jezero Crater.","REAL"
"Water on Earth was brought here by giant space whales.","A fringe theory suggests that Earth's oceans did not come from comets, but were transported across the galaxy in the bellies of enormous biological space vessels.","FAKE"
"United Nations passes resolution on climate action.","Member states of the UN have reached a historic agreement to accelerate the transition to renewable energy and provide financial aid to developing nations for climate adaptation.","REAL"
"Using your phone in the dark makes your eyes glow.","A rumor spreading online suggests that the blue light from smartphones, when used in total darkness, causes a permanent bioluminescent effect in human retinas.","FAKE"
"Cancer survival rates have doubled in the last 40 years.","According to the National Cancer Institute, advancements in early detection and targeted therapies have led to a significant increase in survival rates for many types of cancer.","REAL"
"Gravity is slowing down, making us heavier.","A viral video claims that the Earth's gravitational pull is increasing every year due to 'space dust' accumulation, which is why people feel more tired lately.","FAKE"
"Artificial Intelligence helps doctors diagnose rare diseases.","New AI-powered tools are being used in hospitals to analyze complex medical images and patient data, identifying rare conditions that are often missed by human eyes.","REAL"
"The Sun is actually a giant lightbulb.","A conspiracy group claims that the Sun is an artificial construct maintained by an advanced civilization and that 'solar flares' are just the bulb flickering.","FAKE"
"Major city implements ban on single-use plastics.","The city council has voted to phase out plastic straws, bags, and containers in all restaurants and retail stores starting next month to reduce ocean pollution.","REAL"
"Birds aren't real, they are government spy cameras.","The 'Birds Aren't Real' movement continues to gain traction, claiming that the government replaced all birds with drones in the 1970s to monitor citizens.","FAKE"
"New vaccine shows 95% efficacy against malaria.","A groundbreaking clinical trial for a new malaria vaccine has shown highly promising results, potentially saving hundreds of thousands of lives annually in tropical regions.","REAL"
"Charging your phone in the microwave takes 30 seconds.","A dangerous 'life hack' circulating on social media claims that you can fully charge a smartphone battery by microwaving it for 30 seconds. Do not try this.","FAKE"
"SpaceX successfully launches mission to the asteroid belt.","The private space exploration company has successfully deployed a fleet of small probes designed to prospect for rare minerals on nearby asteroids.","REAL"
"Dinosaurs are still alive and living in the center of the Earth.","A popular 'Hollow Earth' theory suggests that dinosaurs did not go extinct but migrated to a tropical paradise located within the Earth's core.","FAKE"
"Global literacy rates reach an all-time high.","UNESCO reports that global literacy rates have increased to over 86% as a result of worldwide educational initiatives and digital access in remote areas.","REAL"
"The Great Wall of China was built to keep out dragons.","A viral 'history' blog claims that the Great Wall was not built for defense against nomadic tribes, but as a barrier against fire-breathing mythical creatures.","FAKE"
"Scientists develop biodegradable alternative to plastic.","A team of researchers has created a new material from seaweed that is fully compostable and can replace traditional plastic packaging within five years.","REAL"
"Laptops can be powered by your own body heat.","A tech startup claims to have invented a laptop that requires no battery, instead drawing power through the keyboard from the user's natural body temperature.","FAKE"
"Renewable energy capacity grew by 50% last year.","The International Energy Agency (IEA) reports a massive surge in wind and solar power installations, marking the fastest growth in two decades.","REAL"
"Sharks can smell fear from three miles away.","While sharks have a keen sense of smell, the idea that they can specifically detect the 'scent of fear' in humans from miles away is a myth.","FAKE"
"New species of deep-sea jellyfish discovered.","Marine biologists using a remote-operated vehicle in the Mariana Trench have filmed a previously unknown species of jellyfish with glowing red tentacles.","REAL"
"Cell towers are stealing your memories.","A fringe group claims that 5G cell towers emit a frequency that slowly erases short-term memories to make the population easier to control.","FAKE"
"Major bank introduces palm-print payments.","One of the world's largest banks has started rolling out biometric payment systems that allow customers to pay for groceries by simply scanning their palm.","REAL"
"Mountains are actually giant sleeping giants.","A 'geological' theory suggests that mountain ranges are not formed by tectonic plates, but are the fossilized remains of ancient titans that fell asleep.","FAKE"
"Global effort to plant one trillion trees by 2030.","A coalition of governments and NGOs has launched an ambitious project to restore forests worldwide as a primary strategy to capture carbon dioxide.","REAL"
"Coffee makes you shorter, says new report.","A fake health report suggests that drinking more than two cups of coffee a day inhibits bone growth and can make an adult lose up to two inches in height.","FAKE"
"Autonomous buses begin regular service in Tokyo.","The city has launched its first fleet of self-driving buses on public roads, serving a 5-mile loop in the business district with human safety monitors on board.","REAL"
"The Eiffel Tower grows six inches every summer.","Due to the thermal expansion of iron, the Eiffel Tower actually increases in height by about 15 centimeters during the hot summer months.","REAL"
"Wearing socks while sleeping causes permanent hair loss.","An unverified health blog claims that the heat trapped by socks during sleep confuses the body's 'hair growth signals,' leading to baldness over time.","FAKE"
"World's oldest person celebrates 120th birthday.","A woman in Japan, verified by Guinness World Records, has celebrated her 120th birthday, crediting her longevity to a diet of fish and green tea.","REAL"
"Internet will be shut down for 'maintenance' for 48 hours.","A viral message warns that the entire global internet will be turned off this weekend for a worldwide software update. This is a hoax.","FAKE"
"Researchers create 'unbreakable' glass for smartphones.","Using a new crystalline structure, material scientists have developed a glass that is ten times more resistant to impact than current leading products.","REAL"
"Gold can be made from lead using a kitchen blender.","A 'chemistry hack' video claims that if you blend lead pellets with a 'secret' vinegar solution, they will eventually turn into 24-karat gold.","FAKE"
"New coral reef found in unexpected location.","Scientists have discovered a massive, healthy coral reef system in the dark, cold waters of the northern Atlantic, challenging previous assumptions about coral habitats.","REAL"
"Rainwater is actually government tears.","A satirical but widely shared post claims that rain is not part of the water cycle, but the result of government officials crying over tax revenue.","FAKE"
"Major breakthrough in Alzheimer's treatment.","A new drug that clears protein plaques in the brain has shown significant success in slowing cognitive decline in early-stage Alzheimer's patients.","REAL"
"Your shadow can move independently if you don't watch it.","A 'paranormal' website claims that human shadows are sentient beings that only mimic our movements because they are shy, but move freely when unobserved.","FAKE"
"Electric planes take flight for short-haul routes.","A regional airline has successfully completed its first commercial-style test flight of a fully electric 19-seater aircraft, aiming for regular service by 2026.","REAL"
"Sleeping with a fan on 'drinks' your oxygen.","A common myth in some regions suggests that running a fan in a closed room while you sleep will consume all the oxygen and lead to suffocation.","FAKE"
"Hubble telescope captures image of the 'Pillars of Creation'.","NASA has released a stunning new high-resolution image of the famous gas clouds in the Eagle Nebula, showing intricate details of star formation.","REAL"
"The moon is a hologram projected from Antarctica.","Flat-earth theorists claim that the moon is not a physical object but a light projection intended to hide the truth about the Earth's shape.","FAKE"
"Global population reaches 8 billion milestone.","The United Nations has officially announced that the world's population has surpassed 8 billion people, highlighting challenges for sustainable development.","REAL"
"Carrots were originally purple before being genetically modified.","Historically, most cultivated carrots were indeed purple, yellow, or white; the orange variety was developed in the Netherlands in the 17th century.","REAL"
"Drinking cold water freezes your internal organs.","A viral health warning claims that drinking ice water after a meal causes your stomach and intestines to instantly freeze, leading to digestive failure.","FAKE"
"Ancient city of Pompeii reveals new secrets.","Ongoing excavations at the site of the Vesuvius eruption have uncovered a perfectly preserved 'snack bar' with remains of food still in the jars.","REAL"
"Mars has a secret atmosphere made of breathable oxygen.","A conspiracy theorist claims that NASA is lying about Mars' atmosphere and that astronauts are already living there without spacesuits.","FAKE"
"New technology allows paralyzed man to walk using thoughts.","Using a 'digital bridge' between the brain and spinal cord, scientists have enabled a man with a severed spine to regain control over his leg muscles.","REAL"
"Touching a toad will give you warts.","While toads have bumpy skin, the idea that they can transmit warts to humans is a myth; warts are caused by human viruses, not amphibians.","FAKE"
"Global shipping rates drop as supply chains stabilize.","After years of disruption, the cost of moving containers across the oceans has returned to pre-pandemic levels, easing inflationary pressures.","REAL"
"If you sneeze with your eyes open, they will pop out.","Despite common fears, the muscles and tissues holding your eyes in place are far too strong for a sneeze to dislodge them.","FAKE"
"Discovery of a new species of 'glass' frog.","Researchers in the Amazon rainforest have identified a tiny frog with completely transparent skin on its underbelly, revealing its beating heart.","REAL"
"WiFi was invented by aliens in 1947.","A 'hidden history' book claims that WiFi technology was recovered from a crashed UFO in Roswell and kept secret for decades.","FAKE"
"First successful 3D-printed heart transplant in a pig.","Medical researchers have successfully transplanted a 3D-printed organ made from biological tissue into a pig, a major step toward human applications.","REAL"
"Bananas are radioactive and can kill you.","While bananas contain small amounts of radioactive potassium-40, you would need to eat roughly 10 million bananas at once to die of radiation poisoning.","FAKE"
"Rare 'Blue Moon' to appear this Friday.","Astronomers are encouraging people to look up this weekend as a seasonal Blue Moon—the third of four full moons in a single season—will be visible.","REAL"
"The Earth's core is actually made of cotton candy.","A satirical science site claims that the 'molten iron' core is a lie and that the Earth is actually filled with high-pressure pink spun sugar.","FAKE"
"Major tech company announces 'Carbon Negative' goal.","A leading software firm has pledged to remove more carbon from the atmosphere than it emits by 2030, including historical emissions since its founding.","REAL"
"Culls of 'ugly' animals planned to improve nature's aesthetics.","A fake news report claims that a new environmental agency wants to remove 'unattractive' species to make national parks more 'Instagrammable.'","FAKE"
"Scientists find water ice on the surface of the Moon.","Data from a lunar orbiter has confirmed the presence of water ice in the permanently shadowed craters at the Moon's poles, a key resource for future bases.","REAL"
"Swallowing gum takes seven years to digest.","While the body cannot digest the synthetic base of chewing gum, it does not stay in your stomach; it passes through your system just like anything else.","FAKE"
"New algorithm can predict volcanic eruptions weeks in advance.","Using machine learning to analyze seismic patterns and gas emissions, researchers have developed a model that significantly improves eruption warnings.","REAL"
"The Great Pyramid was a giant wireless power plant.","A popular pseudoscientific theory suggests that the pyramids of Giza were built to transmit electricity globally through the ionosphere.","FAKE"
"Historic peace treaty signed between two warring nations.","After decades of conflict, leaders of the two countries have signed a comprehensive peace agreement, opening borders and restoring diplomatic ties.","REAL"
"Cracking your knuckles causes arthritis.","Numerous studies have shown that the sound of knuckle cracking is just gas bubbles bursting and does not lead to arthritis or joint damage.","REAL"
"Record-breaking heatwave hits Australia.","Meteorologists report that several cities have seen temperatures exceeding 45 degrees Celsius, leading to emergency warnings and power grid strain.","REAL"
"Looking at a picture of a fire can burn your house down.","A superstitious blog post claims that keeping digital images of fire on your computer creates a 'quantum link' that can spontaneously ignite furniture.","FAKE"
"Scientists create the first 'synthetic' human embryo.","Using stem cells and no egg or sperm, researchers have created embryo-like structures that mimic the early stages of human development for research.","REAL"
"Elephants can fly if they believe in themselves.","A fake 'nature documentary' clip being shared online claims that African elephants have the ability to glide using their ears, but only when happy.","FAKE"
"New solar panels work even at night.","Engineers have developed a 'thermoradiative cell' that generates a small amount of electricity by capturing the heat radiating from the Earth toward space at night.","REAL"
"If you stare at a microwave, it will read your mind.","A conspiracy website claims that the radiation from microwave ovens can 'ping' human brainwaves and send your private thoughts back to the manufacturer.","FAKE"
"Breakthrough in battery technology uses common salt.","A new type of sodium-ion battery has entered mass production, offering a cheaper and more sustainable alternative to lithium-ion for energy storage.","REAL"
"The sky is blue because we live inside a giant blue eye.","A 'spiritual' theory suggests that our universe is located inside the eye of a colossal being and the sky's color is just its iris.","FAKE"
"World Bank predicts global economic growth of 3% this year.","In its latest report, the World Bank suggests that despite various challenges, the global economy is showing resilience and steady recovery.","REAL"
"Vultures are actually highly efficient recyclers of nature.","Unlike their negative reputation, vultures play a critical role in ecosystems by removing carcasses that would otherwise spread diseases to other animals.","REAL"
"A secret button on every ATM gives you double cash.","A viral 'finance tip' claims that if you press 'Cancel' and '7' at the same time, the ATM will double your withdrawal for free. This is false.","FAKE"
"First commercial space hotel planned for 2027.","A space construction company has unveiled plans for a rotating orbital station that will include luxury accommodations and research facilities for paying guests.","REAL"
"Drinking the juice of a cactus makes you invisible to spiders.","A fake survival guide claims that the chemical composition of certain cacti, when ingested, masks the human scent from all arachnids.","FAKE"
